name,prompt,negative_prompt
AX: Portrait,"portrait of {prompt}  italian girl. funny hermit, anime fantasy illustration by tomoyuki yamasaki, kyoto studio, madhouse, ufotable, trending on artstation ilya kuvshinov J- Top rated Pixar key visual of Miyazaki characters","uv unwrapped texture map of human face albedo at-snoot, instagram profile photo"
AX: Selfie,"portrait of {prompt} . , off shoulder, selfie, long ginger hair,  person, masterpiece, best quality, absurdres, highres, 4k, ray tracing, perfect face, perfect eyes, intricate details, highly detailed","drawn by bad-artist, sketch by bad-artist-anime, (bad_prompt:0.8), (artist name, signature, watermark:1.4), (ugly:1.2), (worst quality, poor details:1.4), bad-hands, badhand, blurry, child, loli, kids"
AX: Typo,"typographic art {prompt} . stylized, intricate, detailed, artistic, text-based","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, dark, scary, realistic, monochrome, abstract"
AX: Concept,"concept art, digital artwork, illustrative, painterly, matte painting, highly detailed, {prompt} .  anime influence, highly detailed","(worst quality:2), (low quality:2), (normal quality:2), lowres, watermark"
AX: Arch,"concept art, digital artwork, illustrative, painterly, matte painting, highly detailed, {prompt} . detailed, spectacular, luxurious, elegance, perfect design, anime influence, highly detailed, harmonious color, horizontal decorative, competition, horizontal decoration, modern, vertical decoration, stacked volumes,","(worst quality:2), (low quality:2), (normal quality:2), lowres, watermark"
AX: Vivid Fantasy,"{prompt} extreme plus resolution fantasy concept art, intricate details to everything visible, sharp lighting, dramatic light by, strong emphasis on, digital illustration painting, 8k resolution, vivid colors","deformed, glitch, noisy, low contrast, anime, photorealistic"
AX: Sci-fi,"{prompt} pixar sci - fi movie by weta, marvel, maxim magazine cover,  unreal engine, sunburn, iridescent, bright morning,  mappa, high","richly detailed colored pencil 3D illustration , basic background,  mirrored background, completely rendered reflections, photo-description, brand, right, name, logo, imprint, copyright, watermark, text, white text, signature, downloaded, company-branding"
AX: Horror,"{prompt} . in style of mansion o madness wallpaper, dramatic, heroic, fear, insane, terrific, insane, illustration, particles, by asher brown durand, by yoshitaka amano, fantasy digital art, colorfull, bokeh effect  blurout, orange background,  absurd beauty illustration, full skin depth","long kose irani ,hyper detailed, (realisticdigital art:1.37),trending on Artstation awesome high definition dynamic angle painting cinematic photoket best best sharp, 1boygirl child face child virtualism photopad par lillic, dynamic painting a long amount lower dynamic angle, child toddler small realistic hyper intricate and hyper original fine detail, ultra dramatic masterpiece highlyill detailed stunning, cinematic beautiful detailed realistic extremely detailed eyes realistic long coat medium large breast and eyes perfect anatomy cinematic shadow perfect focus motion photo dynamic depth image exquisite detail beautiful star pupil amazing detailed star crown in realistic"
AX: Arkham," in style of mansion o madness wallpaper, {prompt} . 1 8 century, arkham horror, tentacles, evil fluid,  lovecraft illustration, orange background, orange foreground blown hair, black eyes looking up at wearer blush looking with half filled expression of fear eye on dramatic, heroic, fear, insane, terrific, particles, by asher brown durand, by yoshitaka amano, fantasy digital art, colorfull, bokeh effect blurout, absurd beauty illustration,  full skin depth","long illustration, rim light, atmospheric lighting, perfectly shaded, soft painting, art by krenz cushart and wenjun lin  ute kreibensharakurakushu art print version solo (portrait:1.19) see full creative history full colour beautiful marida bloom eyes marizuba marizao street artist with light body mariu yakura akinyobisa wyomi photopan lanyard boba durembin nokiv nakulugitaka na akinyom shoddyosh shruz. loli"
AX/NEG: Long,{prompt},"(ugly face:0.8), cross-eyed, (worst quality:2), (low quality:2), (normal quality:2), lowres, child, loli, kids, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,  facing away, tilted head, {Multiple people}, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worstquality, jpegartifacts, signature, watermark, username, blurry, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, mutated hands, polar lowres, missing arms, missing legs, extra foot, cleavage, ((repeating hair)), ((cat ears)), ((multiple hands)), ((gloves))"
AX/NEG: Ultra,{prompt},"photo-description, brand, right, name, logo, imprint, copyright, watermark, text, white text, signature, downloaded, company-branding, child, loli, kids"
CX: Dynamic,"{prompt}, character portrait, Foreshortening, Distorted Perspective, Dynamic",
CX: Energetic,"character photo portrait, Diagonals, Dynamic Lines, Energetic Composition, simple background, {prompt}","lines, geometry"
CX: Emphasis,"character photo portrait, Texture Emphasis, Tactile Quality, Surface Detail, {prompt}",
CX: Character,"{prompt}, Character Portraiture, Emphasis on Facial Features, Expressive Detail, photography",
CX: Close,"{prompt}, Character Study, Close-Up, Detailed Examination, photography",
CX: Distinct,"{prompt}, Contrasting Character Elements, Distinct features, visual impact, emphasis on differences, photography",
CX: Movement,"{prompt}, Dynamic Character Motion, Dynamic poses, conveying movement and energy, photography",
CX: Harmony,"character photo portrait, Color Harmony, Pleasing Colors, Balanced Palette, {prompt}",
CX: Interest,"character photo portrait, Contrast, Emphasized Differences, Visual Interest, {prompt}",
CX: Strong,"character photo portrait, dutch angle, lush landscape, characters, strong inventive artistic figural composition, {prompt}",
CX: Clear,"character photo portrait, Open Composition, Expansive, No Clear Boundaries, {prompt}",
CX: Chiaroscuro,"{prompt}, character color photo portrait, Mise-en-scène, Staged Scene, Thoughtful Arrangement, Chiaroscuro, Strong Light and Shadow, Dramatic Contrast",
CX: Low-Key,"character photo portrait, Low-Key Lighting, Dramatic Shadows, Focused Illumination, {prompt}",
CX: Backlit,"{prompt}, backlit, miasmatic vapors mist, simple background, key visual, hdr, simple background, by, form,","masterpiece, painting, bad composition, blurry image, low quality, (low-res), bad quality, masterpiece, innatural, twisted, anatomy, stretched, stretching"
CX: Composition,"{prompt}, inventive artistic figural composition",
CX: POV,"character photo portrait, Point-of-View Shot, Character Perspective, Immersion, {prompt}",
CX: High-Angle,"character photo portrait, High-Angle Shot, Vulnerability, Subordination, {prompt}",
CX: Low-Angle,"character photo portrait, Low-Angle Shot, Empowerment, Authority, {prompt}",
CX: Minimal,"character photo portrait, Minimalist Composition, Simplified Elements, Subtle Details, {prompt}",
CX: Dark,"Dark atmosphere, deep shadows, lack of light, Macro, deep background, {prompt} curve line lean form.",
CX: Close-Up,"character photo portrait, Close-Up, Intimacy, Detailed Facial Expressions, {prompt}",
CX: Context,"Establishing Shot, Context, Setting Introduction, {prompt}",
CX: Shoulder,"{prompt}, Over-the-Shoulder Shot, Perspective, Subjective View",
CX: Panorama,"{prompt}, Panorama Stitching, Wide View, Comprehensive Landscape",
CX: Dolly,"{prompt}, Dolly Zoom (Vertigo Effect), Perspective Distortion, Emotional Impact",
CX: Macro,"Macro Photography, Extreme Close-Up, Detailed Exploration, {prompt}",
CX: Pair,"{prompt}, character photo portrait, Two-Shot, Pairing, Relationship Dynamics,",
CX: Interaction,"{prompt}, character photo portrait",Shot Reverse Shot
CX: Group Fusion,"{prompt}, Character Fusion, Blended Forms, Symbolic Unity, photography",
CX: Card,"tarot card, front perspective, black background, flat, frame, square, white outline , {prompt}",
CX: Abstract,"abstract {prompt} painting, bright yellow AND deep blue color palette, curve, circle, ellipse, core, AK, abstract, deconstruction, geometry, geometric composition,paint painting,harmonious colors, black frame,rectangle, tilt, flat painting, framex, horizontal",
CX: Abstract2,"abstract {prompt} painting, bright yellow and deep red color palette, curve, circle, ellipse, core, AK, abstract, deconstruction, geometry, geometric composition,paint painting,harmonious colors, black frame,rectangle, tilt, flat painting, framex, horizontal",
CX: Abstract Dark,"Dark atmosphere, deep shadows, lack of light, Macro, deep background, abstract {prompt} painting, bright yellow AND deep blue color palette, curve, circle, ellipse, core, AK, abstract, deconstruction, geometry, geometric composition,paint painting,harmonious colors, black frame,rectangle, tilt, flat painting, framex, horizontal, curve line lean form., Contrasting Character Elements, Distinct features, visual impact, emphasis on differences, photography",
CX: Environment,"{prompt}, Environmental Character Setting, Integration of characters into a contextual environment, atmospheric scene, photography",
CX: Photoshoot,"RAW analog photo, studio photoshoot, {prompt}, flirting with camera, beautiful art, looking at viewer, pure, plain background","camera, celebrity, (milla jovovich, winona ryder, laetitia casta, adriana lima), (art of greg martin, art of rafael grassetti), greg rutkowski"
CX: Make Older,"{prompt}, elderly mature centenarian, saggy, wrinkles, age spots, grey hair, macro details, birthmarks, skin blemishes, liver spots","smooth, dirty face, pure, low res, unnatural"
CX: Make Unperfect,"{prompt}, wrinkles, wrinkled, rugged, weary, (age spots:0.5), (skin hair:0.5), macro details, (birthmarks:0.5), (skin blemishes:0.5)","smooth, dirty face, pure, low res, unnatural"
CX: Soft Unperfect,"{prompt}, wrinkles, [age spots:0.5], [skin hair:0.5], macro details, goosebumps, [birthmarks:0.5], [skin blemishes:0.5]","smooth, dirty face, pure, low res, unnatural"
CX: Beauty,"RAW analog photo, studio photoshoot, {prompt}, the most beautiful woman in the world, flirting with camera, beautiful art, pure, white theme, plain white background, blue eyes, dark red lips, (freckles:0.5), looking at viewer, smiling, blushed red cheeks",
CX: Beautiful,"beauty photo portrait of a {prompt}, hdr, best quality, details, absurdres, highres, simple, professional, simple, perfect, natural","(((unprofessional-bodies))), (((unprofessional-pose)))"
CX: Detailed,"{prompt}, absurdres, detailed, macro details, 8k, hyper realistic, texture surface details","low res, unnatural"
CX: Isometric,"overhead top-down isometric view of a {prompt}, absurdres, macro details, 8k, texture surface details","low res, unnatural"
CX: Landscape HDR,"{prompt}, (wimmel bild:1.17), powerful imagery, landscape hdr","low res, flamboyance, kitch, low res, unnatural"
CX: Landscape Photo,"{prompt}, wimmel bild, powerful imagery, landscape photography, hyperrealism, daz 3d genesis iray, trending,","low res, flamboyance, kitch, low res, unnatural"
CX: Landscape Drone,"wimmel bild by, in a huge, looking down from above, (drone perspective:1.42), {prompt}, digital art, surrealism, dramatic lighting, trending","low res, flamboyance, kitch, low res, unnatural"
CX: Fisheye,"Fisheye rectilinear lenses, pov . 20mm photograph of {prompt}, film, bokeh, professional, photorealistic. 4k, highly detailed dim volumetric lighting, 8k octane beautifully detailed render, post-processing, hyper-detailed, intricate, epic composition, highly detailed attributes, atmosphere, cinematic natural lighting, masterpiece, trending, stunning, flawless completion, lifelike texture, perfection","optical artifacts, geometric patterns, camera, lens, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly"
CX: Fisheye2,"{prompt},  cinematic fish-eye film still from below","centered, center composition "
CX: Opulence,"a scene of {prompt}, girl laying on sofa, full body, cinematic smooth stone, deep aesthetic, concept art, post process, carved marble texture silk cloth, commoner skin, highly ornate intricate details, in the style of wlop, photography",
CX: Opulence2,"a scene of {prompt}, laying on sofa, full body, cinematic smooth stone, deep aesthetic, concept art, post process, carved marble texture silk cloth, commoner skin, dominating pose, highly ornate intricate details, wlop, photography",
CX: Opulence3,"a scene of {prompt}, laying on armchair, full body, cinematic smooth stone, deep aesthetic, concept art, post process, carved marble texture silk cloth, commoner skin, dominating pose, highly ornate intricate details, wlop, photography",
CX: Gritty,"{prompt}, grit, (rust:0.65), cracks, cracked surface, subtle messy, dust, weary, edges rusty dusty, surface scratches, peeled sun bleeched paint, smudges, crumbles, rugged, used","new, unused"
Style: Cinematix,"cinematic realism film scene still of a {prompt} . 35mm f1.8 Macro, chiaroscuro, shallow depth of field, vignette, Mise-en-scene, detailed, cinemascope, moody, epic","low res, unnatural, 3D, anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch"
Style: Photomatix,"photo focus on {prompt}, film, professional, 4k, highly detailed","unwanted elements, 2d, 3d, anime, drawing, painting"
Cinematix Portrait,"cinematic realism film-scene still of a photo focus-on {prompt} . film, professional, highly detailed, absurdres, , macro details, uhd-16k, 8k, 4k, hyper realistic, texture surface details . 35mm f1.8 Macro, chiaroscuro, shallow depth of field, vignette, Mise-en-scene, sharp-detailed, cinemascope, moody, epic","unwanted elements, 2d, 3d, anime, drawing, painting, low res, unnatural, low res, unnatural, 3D, anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch"
Cinematix Portrait2,"cinematic realism film scene still of a photo focus on {prompt} . portrait, film, professional, highly detailed, absurdres, detailed, macro details, uhd-16k, 8k, 4k, hyper realistic, texture surface details . 35mm f1.8 Macro, chiaroscuro, shallow depth of field, vignette, Mise-en-scene, detailed, cinemascope, moody, epic","unwanted elements, 2d, 3d, anime, drawing, painting, low res, unnatural, low res, unnatural, 3D, anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch"
Cinematix Natural,"cinematic realism film scene still of a photo focus on {prompt} . dim light. night, natural commoner portrait, film, professional, highly detailed, absurdres, detailed, macro details, uhd-16k, 8k, 4k, hyper realistic, texture surface details . 35mm f1.8 Macro, chiaroscuro, shallow depth of field, vignette, Mise-en-scene, detailed, cinemascope, moody, epic","unwanted elements, 2d, 3d, anime, drawing, painting, low res, unnatural, low res, unnatural, 3D, anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch"
CX Style: Neon,"neonpunk style {prompt} . cyberpunk, vaporwave, neon, vibes, vibrant, stunning, crisp, detailed, sleek, ultramodern, green | blue | orange | magenta highlights, dark volumetric shadows, high contrast, professional","painting, drawing, illustration"
CX Style: Neon2,"neonpunk style {prompt} . feature.cyberpunk, vaporwave, neon, vibes, vibrant, stunning, crisp, detailed, sleek, ultramodern, {green|blue|orange|magenta} highlights, dark volumetric shadows, high contrast, professional","painting, drawing, illustration"
CX: Cinema,"cinematic realism film scene still of a {prompt} . assiduous, style of, expression, Mise-en-scene, Chiaroscuro, Strong Light and Shadow, Dramatic Contrast, a hilarious scene, unforeseen consequences, photography . 35mm f1.8 Macro, chiaroscuro, shallow depth of field, vignette, Mise-en-scene, detailed, cinemascope, moody, epic scene, best rendered work, 35mm, pristine movie","low res, unnatural, anime, text, glitch, sphere, drone"
CX: Tech,"assiduous, style of, scene, art composition of {prompt}, (Fujifilm X-T4), bronze silver age, photography ideal arms, artistic dynamic pose:1.15) realism, hyperrealistic, (shallow depth of field, frontal bokeh, light particles flying in air, volumetric light, light caustics, refraction, reflection, v-ray, ray tracing:1.15)","unreal picture, plastic look, plastic skin, digital art image, ironman, hollywood"
CX: Oldmasters,"{prompt}, a scene, of assiduous, style of, art composition, Klimt, Rembrandt, Costic, fantasy style, dreamlike art, photography, post processing comfortable, luminous",
CX: Chiaroscuro LoRA," chiaroscuro, dark dim scene of {prompt}, color photo, atmospheric, light and shadow, crepuscular, slight athmospheric mist",light streaks
Typo: Scary,[{prompt}] logo in dipping scary font,
Typo: Grafitti,[{prompt}] logo in grafitti style font,
Typo: Dry,[{prompt}] logo in painted dry brush style font,
Typo: Strokes,[{prompt}] logo in dynamic brushstroke style font,
CX: Funny,"{prompt}, a hilarious scene, a humorous attempt with unforeseen consequences, Comedy Unleashed, photography", 
CX: Macro Extreme,"((extremally close shoot)) (macro shoot), {prompt}  BREAK, realistic, ((photorealistic)), extremely detailed, glass reflection, dark shadows, hard light hard shadows, shallow depth of field,highly detailed, high budget Hollywood film, ((darkfull )) , detailed, focus on material", 
EX: Anatomy,{prompt},"morbide-body-parts"""""
EX: Physique,"{prompt}, perfect-detailed-physique",physique-in-detail:2
EX: Relaxed,{prompt} (((relaxed))),"morbide-body-parts"""""
EX: Realistic,"physically-realistic"" {prompt}""","3D-rendering"""""
EX: UFO,"physical-ufo, flying-in-the-sky, designer-quality lit, {prompt}",
EX: UFO2,"physical-ufo, flying-in-the-sky, designer-quality, {prompt}",3D-rendering
EX: HandPose,"{prompt}, sign-language-pov communicating-in-sign-language",morbide-body-parts
EX: Lively Colors,{prompt},grey-in-grey
EX: Fingers,{prompt},bulging-fingers
EX: Ask,can-i-get {prompt} ?,can-i-get-no {prompt} ?
EX: Ask2,({prompt}) ?!,({prompt}) ?!
EX: Ask3,((({prompt}))) !,((({prompt}))) !
EX: Overview,"{prompt} , at-a-distance",too-close
EX: Fix,"{prompt} , picture-perfect pixel-perfect",
EX: AllFix,"can-i-get {prompt} ? , picture-perfect pixel-perfect (((relaxed))), physically-realistic, sign-language-pov communicating-in-sign-language","morbide-body-parts, bulging-fingers, 3D-rendering, can-i-get-no {prompt} ?"
EX: Glamour,"can-i-get bombshell-body casual {prompt} . chiaroscuro. Professional, Strong Light and Shadow, Dramatic Contrast, Ultra-HD-details, tonal-balance, sign-language-pov communicating-in-sign-language (((relaxed))), perfect-detailed-physique, picture-perfect pixel-perfect, at-a-distance, physically-realistic ?","can-i-get-no morbide-body-parts, bulging-fingers, 3D-rendering, grey-in-grey, blood, unprofessional, tonal-unbalance, physique-in-detail:2, too-close ?"
EX: Glamour Simple,"can-i-get bombshell-body casual {prompt} . chiaroscuro. Professional, Strong Light and Shadow, Dramatic Contrast, tonal-balance, sign-language-pov communicating-in-sign-language (((relaxed))), perfect-detailed-physique, picture-perfect pixel-perfect, at-a-distance, physically-realistic ?","can-i-get-no morbide-body-parts, bulging-fingers, 3D-rendering, grey-in-grey, blood, unprofessional, tonal-unbalance, physique-in-detail:2, too-close ?"
EX: Random Person,{prompt} . mix-of-every-race mix-of-natural-hair-styles . who.is.it ?,"celebrity, actor"
CX: LUT-OGR,"realistic, cinematic film still of {prompt},  flyweight, hdr, night , vignette, highly detailed, key visual, beefy, simple background, by, form, cold orange green red theme,",
CX: LUT-ORB,"{prompt},  key visual, beefy, simple background, by, form, cold orange red blue theme,",
CX: LUT-BROB,"{prompt},  key visual, beefy, simple background, by, form, cold blue red orange blue theme,",
CX: LUT-OBW,"{prompt}, highly.detailed, key.visual, beefy, simple.background, by, form, cold orange black white theme,",
CX: LUT-red-blue,"{prompt}, highly.detailed, key.visual, by, form, warm red blue theme,",
EX: LoRA Detailed,{prompt} . <lora:detailed_notrigger:1.35>,
EX: LoRA Detailed Lower,{prompt} . <lora:detailed_notrigger:0.7>,
EX: LoRA Mutant,{prompt} . mix-of-random-species-on-1body + mix-of-random-dinosaur-fish-alien-hybrid-species-on-1body,
EX: LoRA Mutant Shrimp,{prompt} . mix-of-random-species-on-1body + mix-of-random-shrimp-octopuss-jellyfisj-alien-hybrid-species-on-1body,
EX: LoRA Mutant Insect,{prompt} . + mix-of-random-mantis-fly-spider-alien -insect-hybrid-species-on-1body,
EX: SD15,"{prompt} . (femme-fatale:1.4) (masterpiece:1.4)  (maximalist:1.4) (best-quality:1.4) (HDR-10:1.4) (sharp:1.4) (best-resoulution:1.4) (picturesque:1.4) (idealistic:1.4) (masterfuly-portrayed:1.4) (ingeniously-wrought:1.4), (clevery-shown:1.4) (properly-done:1.5) (professionally-articulated:1.5) (optimal-depiction:1.5) (vrays:1.4) (optimal-lighting:1.4) (16k-uhd:1.4) (depth-of-field:1.4)",(((detailing-defects))) (((inconsistencies))) (((detailing-contortions))) (((3D-rendering))) (((inhuman-failures))) (minimalist:1.5) (low-quality:2) (normal-quality:2) (worst-quality:2) (ineptly-portrayed:1.5) (unimaginatively-wrought:1.5) (stupidly-shown:1.5) (improperly-done:1.5) (incompetently-articulated:1.5) (worst-depiction:1.5) (boring-environment)
EX: SD15b,"'(({prompt}):1.668)' (femme-fatale masterpiece maximalist best-quality HDR-10 sharp best-resoulution picturesque idealistic masterfuly-portrayed ingeniously-wrought, clevery-shown properly-done professionally-articulated optimal-depiction vrays optimal-lighting 16k-uhd depth-of-field",(((detailing-defects))) (((inconsistencies))) (((detailing-contortions))) (((3D-rendering))) (((inhuman-failures))) (minimalist:1.5) (low-quality:2) (normal-quality:2) (worst-quality:2) (ineptly-portrayed:1.5) (unimaginatively-wrought:1.5) (stupidly-shown:1.5) (improperly-done:1.5) (incompetently-articulated:1.5) (worst-depiction:1.5) (boring-environment)
EX: SD15c,"'(({prompt}):1.668)' (masterpiece maximalist best-quality HDR-10 sharp best-resoulution picturesque idealistic masterfuly-portrayed ingeniously-wrought, clevery-shown properly-done professionally-articulated optimal-depiction vrays optimal-lighting 16k-uhd depth-of-field",(((detailing-defects))) (((inconsistencies))) (((detailing-contortions))) (((3D-rendering))) (((inhuman-failures))) (minimalist:1.5) (low-quality:2) (normal-quality:2) (worst-quality:2) (ineptly-portrayed:1.5) (unimaginatively-wrought:1.5) (stupidly-shown:1.5) (improperly-done:1.5) (incompetently-articulated:1.5) (worst-depiction:1.5) (boring-environment)
EX: Pony,"{prompt} . score_9, score_8_up, score_7_up, score_6_up, score_5_up, score_4_up",deformed
EX: Pony6 Safe,"score_9, score_8_up, score_7_up, score_6_up, score_5_up, score_4_up, {prompt} , rating_safe",deformed
EX: Pony6 Unsafe,"score_9, score_8_up, score_7_up, score_6_up, score_5_up, score_4_up, {prompt} , rating_questionable, rating_explicit",
--------< SDXL Lightning Styles >-------,,
Lightning-2,"<lora:sdxl_lightning_2step_lora:1>, {prompt}",
Lightning-4,{prompt} . <lora:sdxl_lightning_4step_lora:1>,
Lightning-8,{prompt} . <lora:sdxl_lightning_8step_lora:1>,
F1-Natural,"Detailed description for the naturalistic and award-winning photo: Subject: The main focus of this captivating photograph is a {prompt} . Lighting: The photo is illuminated by natural light, bathes the scene in warm, golden tones, providing a serene candid moment captured by the lens. The soft, diffused sunlight accentuates the textures materials and surfaces, creating a flattering glow on reflective parts.  Composition: The photographer has expertly framed the subject within the frame, using the negative space to emphasize the subject's presence, adding depth to the setting without overpowering the subject. The main subject  is positioned slightly off-center, allowing for a more dynamic composition that draws the viewer's eye naturally towards the storytelling of the composition. Setting: The scene unfolds in a tranquil, poignant manner. The crisp documentary analog shot, achieved through the shallow depth of field created by the 55mm f/1.8 lens, effectively isolates the subject and contributes to an intimate atmosphere.  Depth of Field: With the aperture set at f/1.8, a significant portion of the scene is very sharp, emphasizing the subject by a compositions, where all artistic elements interacts with each other. The woman's face, hair, and upper body are in crisp focus, while the background – including distant objects – recedes into soft, creamy blur, thereby drawing attention to the candid expression.Leica-like Aesthetic: Although shot on a DSLR camera, this photograph shares characteristics reminiscent of Leica's distinctive aesthetic. The vibrant colors and sharp details bring the scene to life, creating an enduring visual memory for the viewer. The classic feel of the image is further enhanced by the natural lighting and the subject's unposed demeanor.  Candid Photography: This spontaneous moment captures the essence of candid photography, where a fleeting expression or action is frozen in time. The photographer has successfully preserved the substance and joy of humanity, rendering an authentic portrayal that transcends the ordinary.",
